user_id,review_count,average_stars,fans,yelping_since_year,friends_count,elite_count,group
B3xwUPXMlCb7_5IEDlq4Uw,8,3.89,0,6,97,0,1
Pc5vc0RuoCa8YU6hD-y3Ow,8,4.25,0,9,1,0,1
dz1RKDdHziTy0uw7VtXeXQ,1,1,0,3,63,0,1
6OmHL9dwt5RmKwhGFgjvAA,2,5,0,7,32,0,1
tGbVIKlZAPGrt3VjTn7gRA,5,4.5,0,5,47,0,1
0EocYOZhpDTYqqO_uYbw5A,15,4.67,1,7,78,0,1
W_V8_Id9tpOcZAG1hxcLxg,2,1.5,0,7,55,0,1
1x_2iGnd7j5jcB7VjmFZvQ,2,5,0,10,57,0,1
6Gu9vLSSuo9N5o3xRQcO5g,2,3,0,9,38,0,1
ucj0RT3ZsWHFXQssLq-wmQ,148,3.97,7,8,128,2,1
_a7BES74d_thQfpNBuk8Gw,1,5,0,3,79,0,1
jhpYtJj6mijxNGWRARt7ew,34,4.21,3,8,29,0,1
pxNqVoIR6jmq9iRofZlWHg,26,4,1,7,17,1,1
hP3rxCq8ehdHhNRMiqHm8g,1,4,0,7,13,0,1
FWdE42RE3Iw5J6nGpwPrGQ,4,4.5,1,6,34,0,1
oT9xtXushAFZk3kxbQ921A,6,2.67,0,4,20,0,1
DCW6q3f_dp7js3rJnt5qpw,35,4.88,0,7,65,0,1
PUlzNLNkXdiNacqM9-aiNA,179,3.22,14,7,200,2,1
QQNL-E-gdngVI6WklZmwjQ,4,3.5,0,4,37,0,1
BDtYwdjAvjlE5JftlTVgEg,33,3.34,2,6,27,0,1
LJYX_FxiaudA38sZ9bY8bg,11,2,0,4,32,0,1
E4SGh8tQPgQyShyfzdTiSw,9,4.67,0,7,143,0,1
D2_gTyhIJYi_fcWl_YsGxg,2,4,0,5,116,0,1
Oqa4MoR-8xxKmQBIEdwT2g,91,4.37,5,9,8,3,1
61_I08pvZFTyz4V-RLWfaQ,1,5,0,7,10,0,1
iFwx8TYRc2soj0FZ4P5wRA,1,5,0,4,29,0,1
4qZQbroPWUiK46f3FaG-fw,5,4.2,0,7,2,0,1
XE5haHcvFyrKvLbuBf7K6g,3,4.67,0,8,12,0,1
exzIgEZgAW8vrjTNdiIrsw,4,2,0,3,19,0,1
Tz4kQp5cBI9dMnlP22BGYQ,6,3.67,0,6,21,0,1
_9Ndt4kt_LTnubss5lMFjQ,11,4,1,5,1,0,1
wxz2JGtYi-WfZ2y_8rFUaw,4,4.25,0,7,72,0,1
BLbsbggo3xeo_-4n_GlnLg,1,5,0,5,26,0,1
4jkYVw74Rn7qPqWfRN9jag,50,3.92,3,9,13,0,1
BToDLKq7Fn3D0ZAWhfRGSA,13,5,0,5,27,0,1
crHoHNqoCojNZqnP1qzcFQ,20,3.2,0,4,20,0,1
qvo_NDLZOerWnND-imEQ7A,2,3.5,0,6,10,0,1
#NAME?,3,2,0,5,15,0,1
5UsYu-CU-GnamR58UGoJHA,11,2.35,2,8,51,0,1
GLoS64mZAIOltQdEmtbXyQ,5,3.67,0,5,4,0,1
jEBySjq6tgL-_R3P7LHq0w,204,3.75,13,8,209,5,1
x9EYwqIeSX8HK4emd15mcQ,1,5,0,6,25,0,1
LCXkExkjk4dPOZgp5PjaRQ,39,3.59,5,10,19,0,1
f0p-m_IjupjHREdtk9CImA,72,3.18,2,8,64,0,1
fcgF4Vny2sOZc0-4LRmGdQ,21,3.83,1,8,9,0,1
aa-KQ0ppeZ4yDvnKTuPqPw,7,4,0,4,78,0,1
rg39hMItRanAagZIfmyPDQ,1,1,0,7,112,0,1
Y6TO-QMpR5kTxuQGkxvl2g,22,4.81,1,8,134,0,1
w4Z6G7t13s-XSkTV04pNrQ,7,4.86,2,7,490,0,1
7X0I8tS1sxsMCYNshfEXCA,5,3.4,1,3,38,0,1
B-FRk0KUWu42H2g-NkhVfw,25,3.88,1,11,6,0,1
Lu3YrkK3uf4ejVB5sTTu1A,3,5,0,5,105,0,1
b6Qx-nNhK7w4gDycvAyOzg,6,3.75,1,5,15,0,1
6E95Z4ODzcdbzM4dqCLgtQ,3,4.67,5,8,55,0,1
baXtWO95tAMklcv0Aypqdg,2,3,0,7,14,0,1
2IWP7DubDnm6MXrSelJxdA,8,4,1,7,97,0,1
z5L_LM_DD0foF46qqxHFuw,6,5,1,5,10,0,1
2GJOlAq41J4ixaXESLATMA,21,3.81,1,5,23,0,1
caEisRFzWv_Trxjekjywdw,39,3.44,2,9,53,0,1
uX0DDlXgovEtER5i8x9_GQ,3,4,0,4,1,0,1
giUfhxvrAG9yG5D_DDYC0A,1,5,0,7,5,0,1
aA5E4aiz1jw48qKoRjeAyg,4,4.8,0,5,54,0,1
-FA36aFa-9pQK0HrlQBgkQ,7,2.71,0,8,8,0,1
a-goa3WJ-zqfpXYrwF2DuA,2,5,0,8,72,0,1
hiY9wDeyceuly5eiK0Df0g,4,4.75,4,7,85,0,1
c6ZHZWqI_Q2XF5eUb2Iryw,55,3.51,6,6,32,0,1
Vu7-Krt1AeC8KuEn_dIiog,17,4.71,0,7,136,0,1
dLb3ogF0OeHDNZKEOvJwNw,23,2.96,0,5,44,0,1
ALS8-fmrUkYkpTrxpgtytg,89,4.02,5,10,69,0,1
qTllTILQ6JVifkO-5ezm2Q,25,3.82,1,9,3,0,1
R5E1OgLvd4fZwP8CwS10kg,2,5,0,4,4,0,1
8bk5d99ijMFGDIcExqxdmg,19,3.35,1,6,57,0,1
0gcUB8tSeuHh0cAAybInHQ,4,4.5,1,7,177,0,1
dxKI_NZrnClrRt0cm90qHg,4,4,3,9,175,0,1
lY_ib4QtmxgMMhsuPwoPlw,7,2.71,0,5,1,0,1
mXEvgQU3ml42RDnuaUs_tw,12,3.58,1,5,47,0,1
w_PPO6s7M0CM9bn4V_TyBQ,3,3.67,0,9,1,0,1
eh7x5colE_ndZ0eQVSTvKg,17,3.18,1,6,33,0,1
IiL-YzXa05JkNTb1Gxfm9Q,1,5,1,5,32,0,1
qpSrJxrgzDrsnIttrlLB3Q,6,4.71,1,8,75,0,1
_uZd-ijm9w7GPViMNtJgWw,1,1,0,4,4,0,1
q3Wv5-Yi2h1AEf3uv9K1-g,11,4,4,11,12,0,1
f16ua7mhdN5Nn-KxgZvW8g,44,3.8,1,8,35,0,1
S0mcU7rElQPVbaeUnHUbJw,3,4.67,0,3,15,0,1
ISahnkKoamvatZ3xnVokNg,10,4.2,2,6,43,0,1
pHPufqViKuklBVlIozp7eQ,1,5,0,8,6,0,1
HekAkUZz8yBw1rdhgTIhRw,2,5,0,5,350,0,1
Ms93Xm8HYjnhVqb0TjhQiQ,49,3.76,6,10,59,0,1
WTuLuxMEeArXsVj3HYq01Q,8,4.11,0,9,114,0,1
AzmSmD_Wlht0IlS3Uu7O1A,86,4.06,6,9,83,0,1
8Gtua8Et4B-gk-UlUuyb2w,3,4.67,0,6,72,0,1
goaA5H0P6w8qmttQWZw6VQ,2,5,0,3,62,0,1
H9MVh5DZs4lghf5zpXf6sQ,14,3.79,0,6,83,0,1
IFWt7gDstI17rP7S7j4P-Q,10,3.1,0,6,28,0,1
8YkQxEq9fKqeHqrcOfpBuQ,21,3.91,1,9,11,0,1
rxdj5hrsrQRDyoF630mw8A,9,5,4,5,89,0,1
n0SH4EU7u2_5b0zmXaHR3Q,8,3.36,0,8,19,0,1
_htQl0vDgYY62dOVAp1YpA,5,3.4,0,3,24,0,1
2j2NfvI7GWwKEn52aHqaFA,15,3.41,2,7,7,0,1
qN5kvYQyIXMK5iGT41_w9A,25,3.67,1,10,7,0,1
0Q5EIFIxISWttluPPHh2ag,68,4.16,7,5,97,0,1
uwKh4jZlQIOl6ftxUEM2dQ,4,3.75,0,4,28,0,1
SBSbNqZEIuwrTpYrasz2JQ,50,3.22,2,8,96,0,1
iuRrbzMk5TpLvuYKADT02A,59,3.79,1,9,41,0,1
NflYpzJGG6vALUn4k4x8Hw,6,4.17,0,5,32,0,1
WpVJ9aB7-574oaIMOX74GA,5,3.8,0,3,20,0,1
zqlPC8si6HiF_OO0DXsJ2w,3,4.33,0,3,29,0,1
9Y1iAO71bxFxyTqNfcCP4g,1,5,0,4,88,0,1
LeA28peUE0NS4VFat7r0tA,8,4,0,8,3,0,1
SsIpqSILQcKeIZGgfyf65g,11,4.42,1,7,23,0,1
clVN_7AYd1NvfVILjX-bWw,21,4.04,3,7,27,0,1
bI9ePxhXe746uNXbUNz2mw,13,4.64,0,7,20,0,1
ruXepzdT86-b9lns7gLi4g,38,3.97,2,7,26,0,1
CNUIMSJtYIqvW77xsEM05A,7,4.71,0,3,53,0,1
6wnlj7ahkBOWTSooAyQCfA,35,4.19,1,10,45,0,1
FxajD_lvE-rbhOwjVqNkGg,1,1,0,6,10,0,1
8GtX-vTqb9Z3WrzpZWWlkg,158,3.84,5,4,103,2,1
VeVzSe_i2v3zupgWB3GSGw,10,3.18,0,5,63,0,1
0G9BcXSQscv_GnhlNwFfjw,105,3.09,15,9,84,0,1
b3DwFWcdQnhKfq-Q4zyEGA,16,4.31,0,6,14,0,1
hWu_RSxcmUd043POzZw5xg,1,4.5,0,6,38,0,1
GN3xlQWQU-ZPkv_xvnXPbA,3,5,0,4,24,0,1
GF_2lC4TruIch3X3i4DTvA,6,3.86,2,7,15,0,1
MhEhmrOR_5EFGSM5VFGBjA,37,4.1,0,2,108,0,1
uJzQ3ee1eeF15Vr4GSTc6A,7,3.29,0,5,29,0,1
TKUDEXpPmUX5fgrPqFI9Xw,9,3.78,0,7,71,0,1
Xx8dQD529LRQDSOy99mQdA,7,3,0,6,28,0,1
2i3mcLiWPIZGguE-0Ee2Yw,44,3.93,2,5,36,0,1
yLZ1-L0u0K0eu2OpnJvzYw,15,4.31,0,10,34,0,1
mb5Y81241fDnqpAyiNb40A,3,3.67,0,4,16,0,1
4EqVzE35BxQOudwzrpGAXA,1,5,0,3,5,0,1
HTcyaJ4HzntyR3UjkpWJVw,8,4.38,0,8,21,0,1
vI7Cqa6oIsO0Z_pECZabSA,1,5,0,2,13,0,1
c0M6NhoyoTtkkwwBKoY38w,7,3.29,4,9,50,0,1
B3I2gWtcgqOW4gW4KGQurw,130,3.66,4,9,28,2,1
YH-db0L9-Jy9u_3-mb4SuA,11,4.42,2,9,164,0,1
mpeE03Ul_rvLQ4Io-o6Sjg,91,3.15,7,11,31,0,1
pzTxkjNqm8MYYTh4pBur-A,1,1,0,4,20,0,1
WH50Koz46e8ZIOjc5I48OA,1,1,0,2,63,0,1
uZcREmV4dmnvQOrINogFEw,15,3.33,1,4,17,0,1
XE4F99D2jA6Fj0BWSVbRWg,367,3.45,14,9,98,5,1
CSU-gsMYWwPgBfTiLze7Cg,9,4.44,0,6,6,0,1
Lm6kEvb_YnzL-p17P1jw9Q,197,3.48,5,10,39,4,1
aIta5Y0O6ftVZF5AQAfrhw,2,3.5,0,5,29,0,1
z_vLZXaf7isHwz_D8HlLsA,2,5,2,7,78,0,1
QNINi84L5BNwexLdJmZTmw,1,5,0,7,22,0,1
pdIAq0NNNuPM4BA5mMXQPw,1,1,0,2,34,0,1
e-4krPmGGQCSTADl6e6GpA,16,3.06,0,10,31,0,1
cTdrn4-wqKiA6diMbgp2ew,1,5,0,2,226,0,1
Hk8P5Obmi4raim9df-F-yQ,103,2.64,5,9,18,0,1
KDWUFI4WMoqVfwTLlYTsVA,3,5,0,7,18,0,1
YxWRYDKwX4Funhd3z_tj-g,6,4.83,0,6,77,0,1
xEMj1AO3Elh4E1NnZZfbcA,2,4.5,0,8,45,0,1
lpLt71uPKBzwxzskKYJCsA,7,3.86,0,7,41,0,1
wNcwS9VyYX7IPkQPGFVobg,71,4.27,1,6,43,0,1
Wt8Naat13FOHfl0yuJtM8g,66,4,3,2,14,2,1
xgqjk-J3yRP0zcNmijpszw,3,3.67,0,7,27,0,1
U9NJUnxevC9dl4d5pfbsNQ,1,4,0,2,40,0,1
yE4dTCWmBNoCrbbFvn8LQg,24,3.93,2,11,16,0,1
8KayUocIVMfgfEuqP1Q-rw,5,3.5,0,6,17,0,1
SRwptW4erC6wWrIfVLjf9g,1,4,0,4,24,0,1
7iCZx_npuUBrWRnZKV4_ww,7,4.75,0,6,22,0,1
Y3sfm2jsyxa4n_Q1E-1L4Q,8,3.75,1,8,95,0,1
pZHzIAe4U2cW2d5iyxtRzA,12,2.92,0,6,2,0,1
54K-qagWyy2P97LCgRZ5AA,2,1,0,4,20,0,1
Kdz_RA7T1pCh9UexU-Laaw,101,4.61,50,13,181,2,1
MbnMkMnz30hO5zxVQ-7mLw,21,2.67,1,7,12,0,1
3XmDifwx7TzUk82xRAknsw,1,5,0,6,9,0,1
UQRizybq4slehrhwqs33Ng,13,3.69,0,3,2,0,1
LDRGQimdsKOtJTZZGNcXsg,10,2.7,0,4,4,0,1
AfceuZD5M1C0qr6If6Ga4A,7,3.14,0,9,39,0,1
EIRfdkbpfjgVb4jS88TdAA,1,4,0,7,18,0,1
VSGh6h9pPJPApHa1UuGuiA,4,2.2,1,6,22,0,1
u1OpxaEMaXIjl7xKEaz1Ww,16,4.25,2,9,12,0,1
pclbj7-TAYRaIHsIpHTZZw,35,3.63,0,4,24,0,1
C2-QdhqBhFAo1oPIsuNZ2g,19,4.32,0,5,37,0,1
qm_qIKWiwIAd3AvEru1mHg,4,1,0,3,6,0,1
uA8_8CE7gULIfJaq4ojzDg,1,1,0,3,13,0,1
sDaHTk8j1ATaiDaSwqc05A,22,4.52,1,7,6,0,1
emvPvdMlIwOwL_wRBb8Gfw,131,3.23,2,11,22,0,1
dlfHwrLCzleDjqg3ETFhDQ,3,4.67,0,5,4,0,1
GgTyGbTFaI1n7lfcGKKlqw,1,5,0,6,12,0,1
jLTC4D4IrL5HPh3Vv7Y92w,69,3.46,7,7,65,0,1
qNUt9AVabm826WIv_XzQ8g,4,5,0,8,41,0,1
re-vPJ23XF3KuR1V1luUGw,4,4.4,0,4,62,0,1
94deZ0iFCQeE2FuGvOt9rA,3,4.67,0,9,12,0,1
pQAUyBorkc1ZOxmV-uJ02w,49,4.61,1,8,10,0,1
#NAME?,22,3.87,0,7,55,0,1
i1TxAWFFAqKEbFShBY4Wxw,1,5,0,7,73,0,1
MOv82J4CVo8tUdJWWsKivA,32,3.3,2,6,22,0,1
gIDXC3PnnilTwpyXujQ5aw,67,3.56,6,11,26,0,1
NuSD65RsTRzbRubKFoCI4A,9,3.5,0,6,42,0,1
WLJYIZYk8VsPzgAG9tM4lg,7,2.86,0,2,207,0,1
2-CnGnCwlA8Z200tXGw_IA,7,4.29,0,5,13,0,1
pO4rqbmYRy10hTZ7VW3PGA,9,4.1,0,2,26,0,1
8Vt9aTUA4Aw2QMCmO4SGSw,1,5,0,1,5,0,1
gtn1mKOTBV_CBBvvHz-ENQ,4,4.25,0,5,18,0,1
7znG9vnx1wyK_0mfnSMaKg,4,2,0,4,7,0,1
HKGwM4Rqo2Opa2jRBxrqUw,3,2.67,0,5,3,0,1
tgyong5p7Ip2arJiERkGRw,9,4.89,0,6,17,0,2
9IoRl3KjJhJaVEBEARl1Ew,32,4.21,4,9,123,0,2
jEjMfYBBFnhcuT1WU4Y-2A,49,3.62,3,8,21,0,2
DmAIPk5H8gCHdKBP5RuefQ,11,3,0,2,160,0,2
00DfZ839YJYaDlvaZihawQ,4,1.25,1,7,21,0,2
0k1drdjSpeO9VEyArR8-mA,15,3.73,0,6,3,0,2
n7Uc0m8td05aZUeNJC3PVA,24,4.24,0,6,27,0,2
wOWT8bL1qKKp9pm71F8_-w,87,3.88,6,7,51,2,2
ejG8Z4wI_VEqpv5Qe3inYQ,3,5,0,7,1,0,2
p139PGVTnfx-uN-9fNqcNA,18,4.5,1,5,35,0,2
gpPTPGqF3RvZ4OQ-cEQYXA,1,3,0,9,33,0,2
5wiS2hMeMkDPnpAzYqtJHg,2,3,0,6,16,0,2
idUvIFRDMgMwsppJOSgenA,2,5,0,3,189,0,2
3HIwJHvr-MIpSy3OJwfQgA,63,2.78,2,8,139,0,2
4rdUFVi753TtKnjcz2vr1Q,86,3.66,2,10,44,4,2
tG5NPDbZiwbqWk66SyQO9w,14,3.31,0,11,42,0,2
#NAME?,75,2.91,4,6,22,0,2
_CJTbCvRWPzFGhQHldv7pg,31,3.4,2,6,78,0,2
BZSSrqv2qGGC2y3LtTbGag,3,3.67,0,3,42,0,2
KLRhVAgqKI1TGN-_vrW3rA,1,5,0,5,14,0,2
1aawkBCZE3jhzgoyjzl31g,14,4.14,1,5,21,0,2
9zuYkm3k4_9KjE1PC8EPfg,23,4.04,3,5,193,0,2
c1kqYsH1kg1a57HZIkUDYg,12,3,0,6,67,0,2
z82b6JZqZVO0sVJFEhunIw,53,2.32,10,11,44,0,2
A2FfTHwM8B_7AUWFpJnsEQ,15,2.22,0,10,1,0,2
4P2Q6pmc5QmniUvzj-_EIg,7,2.5,1,10,3,0,2
SGvRya7SfvfFgKnBH5k_zg,31,4.36,0,8,14,0,2
eng9R_wfBt4MXRc81qMaMg,1,5,0,2,19,0,2
asmKuqwO_bA_UfEDpPhQ9g,14,4.71,1,5,55,0,2
rThA9_5bHL2mmutbm-1YMA,5,4.33,2,8,17,0,2
YHHx3IHwrEXp-id2_haLGQ,188,3.58,3,10,42,4,2
aSYLdesoxAbvoMkTp_ppAw,1,1,1,8,47,0,2
LoPQQyZA08b6gLN6A_pUew,12,3.58,0,4,8,0,2
inZZVash-UP1tskChqCAPA,6,4.33,0,7,34,0,2
uA1f_K0rkswIwwRTukvxRw,17,4.24,0,6,48,0,2
ke7MuWKwEf2axU7HWk7yZg,3,4.67,0,7,16,0,2
bICiYRIl8j8mfT21AC-S1A,6,3.83,0,6,27,0,2
EQ9Ey4ADWm-RlRGijVtIVQ,2,4.33,0,8,33,0,2
MkRwNgv4TqTBgtOkJYXE_Q,55,3.36,1,4,69,0,2
_nR-jdSLJBngF30XBzjCTg,12,2,1,8,127,0,2
gdG9D7U-doMqat1HkNTlgg,3,3.33,0,5,24,0,2
nwAPTKUIa4P-AmySl3Woow,2,5,0,5,14,0,2
UU7gdCOvHQCGGEICYRtAMQ,9,4.44,0,6,17,0,2
KOv1fgh33thUmvPfmC0DUQ,76,3.99,1,9,11,0,2
TQrOpWJtQN8iec__AXUDPw,1,4,0,7,15,0,2
IJ7hVrUp3hSOnBYsaQR7rA,4,3.25,0,8,20,0,2
eIwCHjMDuuOJ3_utLLDQ5Q,87,3.84,2,9,18,2,2
nFS8quO1Xiu8i_m7ptLmHA,12,4.46,0,6,15,0,2
5YfBhLp7m6a4qAgP4My_pQ,50,3.96,2,6,98,0,2
RTo1w25fKUVTucduVIq2VA,20,3.65,1,9,11,0,2
50WPwdngBt7Pe4xyJ74xlw,2,4,0,7,35,0,2
iLLnqK_DujU0WTyQebutkQ,1,5,0,8,8,0,2
ApyQbKnSbYcErYxYH8iEuA,40,4.04,0,8,21,0,2
NjYCSQAb54__rXsj1PvoEg,88,3.71,3,7,144,5,2
5WuLl5U8q0cqlMbchdc9Pg,17,4,1,8,122,0,2
FCi0swFmEcQboqaIVV8-yg,1,5,0,9,17,0,2
XMwr0hQSp9Jkfrs3M33SVQ,15,2.65,0,7,35,0,2
MOIMe60yXqzwEEN-OyUupg,12,3.85,0,6,8,0,2
eP-mNBmE-BcwoXy35wew7A,5,5,0,5,5,0,2
Uegm2JvjzW5F_jTSG6Er4Q,1,5,0,7,17,0,2
Tj58A0_D-WsD-UirmpYSEQ,429,4.07,24,9,131,3,2
KjyV_bLTrV_Ttxw2DmRbZg,24,3.73,0,9,38,0,2
E90xjR_LIHM37akZfApahQ,19,3.79,0,6,13,0,2
k6bduH9StZzcQr6WC4S_Xg,9,3.78,0,5,16,0,2
9i0cG1TXYud8UScMIx1Fbw,1,1,0,6,15,0,2
bMmu_spfJuTJCg_CCrweAw,7,3.86,0,8,12,0,2
0EKNh8VTcUNi-ROCMFt0Xw,16,4.69,0,8,92,0,2
gRd3Qb8YvVxwJDrMa5CHbg,1,2,0,8,16,0,2
pxCnzCk-YVjec1hptrC_Xg,4,4,0,6,48,0,2
rwcFR_azidXADaKxAgivpA,6,3.5,1,6,13,0,2
N_ozRXZhQXKgsrVRSPBUpA,3,3.67,0,6,42,0,2
06L7NJYeQMmkWwcb_yho1g,37,3.9,4,6,47,0,2
XBhRGrMt-Ipy9fBK56b8Hw,18,4.06,4,6,71,0,2
xdjhKDIy9AMCqxebBv69nw,89,4.1,6,8,270,0,2
52b2HfLFy50grtWNGLF4Hw,14,3.43,0,9,15,0,2
VOz2SwAlAuWMyPFxRNV0KQ,16,3.88,1,7,52,0,2
fyFWG90g0BKPruGf19OiWg,1,5,0,2,96,0,2
gMvAPbKAq6J0aJac6itO4w,7,4,1,8,10,0,2
E4trX8PhNZxJ2KF5LMVMYA,4,3.75,0,3,3,0,2
eHgUeRXeMS0mUhXqkzmZsg,7,3,1,5,107,0,2
1DKYCvYf_ec7msT-lL6fOA,9,3,3,7,86,0,2
QK1B8Tw8VQKAK4pNQo3Qzw,21,3.38,0,5,8,0,2
VD3DgonBOaQh0aLNz-DimQ,2,5,0,4,23,0,2
yfT5W2wa5ohLIq1NwoZ0ew,137,3.61,1,6,41,0,2
jD3qxoPnVVFV-5eqZrd9YA,22,3.4,0,6,9,0,2
iB3iW2re2A4LQEFcpXExFw,146,3.53,1,8,12,0,2
ZIo7WPGEoc7cJFr-oaU0yA,21,3.71,1,7,7,0,2
_Y9v0YUVgld8aXGPAjUoKw,1,5,0,4,1,0,2
LVgS8VdZiKpET4cAdSs0sw,84,3.79,3,9,76,0,2
jdp8GdEeIkLT570RLwKSVQ,156,3.8,9,10,33,4,2
IgJSJKZoNj6msezECEai-g,27,4.11,1,7,19,0,2
442pNyWDM8QqcZ1XReRncQ,18,3.83,11,7,42,0,2
87ePY5R-oLShv0nd1azbRw,49,4.08,1,10,11,0,2
qKvfS1bldxXuH0qZ-iW_Yw,4,3.17,0,5,309,0,2
8-WzAvELs9RI1fGLk0KsAw,17,4.47,0,5,26,0,2
PbuFcINcXT9OwE6u57sn4A,49,3.98,3,7,15,4,2
UltlFq8NkHvQjKfTa8WQMg,3,4.33,0,7,25,0,2
KziOl2bDxyKgmUYloeUqhQ,1,5,2,5,87,0,2
trsoYeBETAVDvye4bTSIIA,10,4.7,0,4,2,0,2
H17fPaaAky5ie72tU6uvOw,16,3.81,1,8,3,0,2
kKaDK_mlMZqoH3u7QorT2A,2,3,0,5,41,0,2
scPAxI9yQ_CPRC8N_5oGxg,12,3.25,0,6,145,0,2
wt7cwSDxii0_th9PiBwKhA,16,4,0,4,27,0,2
s4qwSDPBrgTNuMKhRADjXQ,1,1,1,4,7,0,2
CphQoaqPJ03piXQu49VxmQ,4,1.8,0,3,66,0,2
90eC96TpPJGJOZst8ftK2w,1,5,0,2,107,0,2
RJJWxbWSWCw2Hyl3pOOWRA,3,5,1,6,15,0,2
6Rc0nOBzDKg74mrknfW_hw,6,3.83,0,5,43,0,2
cy6GT5FVd4cIzWCNehqpGg,1,5,0,6,15,0,2
e1plbJK_milDnH4mjG2xVA,9,4.44,0,6,14,0,2
uPTnymsrHVVySztnaFOeGQ,4,4.75,1,7,40,0,2
QKLM3DJtPO_Dq3_gCKN03A,23,3.96,0,7,27,0,2
ttZdKXV8MOvB0YgvYat_Iw,4,3.25,0,4,14,0,2
GdsjaqQQW9ts7uNfr7w5qQ,19,3.45,1,5,40,0,2
2KIDfJSLSMpVRVLFC3B4Bg,4,2.75,1,5,11,0,2
9d92wWGlnvwVuf1vUZsFnA,9,4.89,0,4,48,0,2
BwKZRp7eQH-idZiUuAHfkA,2,3,0,7,25,0,2
BphqGSimmiveMskm85AjqQ,9,4.22,1,6,11,0,2
uuLlsaBJ4fs1DTfaAM2q8g,2,2.33,0,8,5,0,2
CL9B6YaBVAezHjHgyCZtOw,5,4.8,0,5,28,0,2
l5TjfKjNeVv6HNd-3IMrKA,13,3.33,0,9,49,0,2
b5RD9Hx6Dkgx60-P9japAw,4,3.25,0,4,20,0,2
Ycwl2wP9N-rPsBKT2bTynw,8,4.63,0,3,21,0,2
5pmytNoMVvC2mHBjK5ZO1A,1,5,0,7,16,0,2
BtZCabaaBQpFMutA6_KC_Q,5,2.6,0,5,3,0,2
0sX-CtiWGD7-XEiC6QjRcg,7,4.43,0,8,3,0,2
O7FpiZgTx4sP4m24O6X7zQ,1,5,0,3,24,0,2
Z9PH0Au0vb7hSdI84iFmLw,2,3,2,10,97,0,2
8YL0g7gpmyKfnqFfOXfyLg,35,3.79,1,7,25,0,2
